link,description,link_validity,datetime
http://google.com,google.com,Valid,Data is not available
https://www.google.com/intl/en/about/company/,"Company",Valid,Data is not available
https://web.archive.org/web/20110628231125/http://www.informationweek.com/news/internet/google/210603678,"Google Founded By Sergey Brin Larry Page... And Hubert Chang?!?",Valid,Data is not available
http://www.informationweek.com/news/internet/google/210603678,the original,Invalid,Data is not available
https://www.google.com/about/jobs/locations/,"Locations — Google Jobs",Valid,Data is not available
http://investor.google.com/proxy.html,"Google Inc. Annual Reports",Valid,Data is not available
https://www.bloomberg.com/news/articles/2017-09-01/alphabet-wraps-up-reorganization-with-a-new-company-called-xxvi,"Alphabet Finishes Reorganization With New XXVI Company",Valid,Data is not available
https://www.independent.co.uk/news/business/news/worlds-most-valuable-brands-facebook-google-apple-amazon-a7556571.html,"Google is now the world's most valuable brand",Valid,Tue 02 Jan 2018 11:14:25 GMT
https://www.webcitation.org/61rJXKAeq?url=http://alan.blog-city.com/an_evening_with_googles_marissa_mayer.htm,"An evening with Google's Marissa Mayer",Invalid,Data is not available
http://alan.blog-city.com/an_evening_with_googles_marissa_mayer.htm,the original,Invalid,Data is not available
https://web.archive.org/web/20120401005940/http://www.google.com/about/company/history/,"Our history in depth",Valid,Data is not available
https://www.google.com/about/company/history/,the original,Valid,Data is not available
http://ilpubs.stanford.edu:8090/422/,"The PageRank Citation Ranking: Bringing Order to the Web",Valid,Data is not available
https://www.google.com/corporate/tech.html,"Technology Overview",Valid,Data is not available
https://web.archive.org/web/20020506051802/http://www-diglib.stanford.edu/cgi-bin/WP/get/SIDL-WP-1997-0072?1,"PageRank: Bringing Order to the Web",Valid,Data is not available
http://www-diglib.stanford.edu/cgi-bin/WP/get/SIDL-WP-1997-0072?1,the original,Invalid,Data is not available
https://www.wired.com/wired/archive/13.08/battelle.html?tw=wn_tophead_4,"The Birth of Google",Valid,Data is not available
http://mentalfloss.com/article/20890/9-people-places-things-changed-their-names,"9 People Places & Things That Changed Their Names",Valid,Thu 25 Jan 2018 23:16:05 GMT
https://web.archive.org/web/19961224105215/http://huron.stanford.edu/,"Backrub search engine at Stanford University",Valid,Data is not available
http://huron.stanford.edu,the original,Invalid,Data is not available
https://www.webcitation.org/68ubHzYs7?url=http://graphics.stanford.edu/~dk/google_name_origin.html,"Origin of the name "Google"",Invalid,Data is not available
http://graphics.stanford.edu/~dk/google_name_origin.html,the original,Valid,Data is not available
https://web.archive.org/web/20100327141327/http://www.stanforddaily.com/2003/02/12/from-googol-to-google,"From Googol to Google",Valid,Data is not available
http://www.stanforddaily.com/2003/02/12/from-googol-to-google,the original,Invalid,Data is not available
https://web.archive.org/web/19990221202430/https://www.google.com/company.html,"Google! Beta website",Invalid,Data is not available
https://www.google.com/company.html,the original,Invalid,Data is not available
https://web.archive.org/web/19981111183552/http://google.stanford.edu/,"Google! Search Engine",Valid,Data is not available
http://google.stanford.edu,the original,Valid,Data is not available
https://web.archive.org/web/19981201235013/http://z.stanford.edu/,"Google! Search Engine",Valid,Data is not available
http://z.stanford.edu/,the original,Invalid,Data is not available
http://whois.domaintools.com/google.com,"Google.com WHOIS DNS & Domain Info - DomainTools",Invalid,Data is not available
https://web.archive.org/web/19991002122809/http://www-cs-students.stanford.edu/~csilvers/,"Craig Silverstein's website",Valid,Data is not available
http://www-cs-students.stanford.edu/~csilvers/,the original,Valid,Sat 15 Mar 2003 09:10:41 GMT
http://articles.sfgate.com/2008-09-07/news/17161124_1_larry-page-google-search-engine,"Craig Silverstein grew a decade with Google",Valid,Data is not available
http://www.computerhistory.org/collections/accession/102662167,"Google Server Assembly",Valid,Data is not available
https://web.archive.org/web/20090919030812/http://www.sfgate.com/cgi-bin/article.cgi?file=%2Fchronicle%2Farchive%2F2004%2F04%2F29%2FMNGLD6CFND34.DTL,"For early Googlers key word is $$",Valid,Data is not available
http://www.sfgate.com/cgi-bin/article.cgi?file=/chronicle/archive/2004/04/29/MNGLD6CFND34.DTL,the original,Valid,Data is not available
https://www.amazon.com/Googled-End-World-As-Know/dp/0143118048/ref=la_B000APL8GA_1_1?s=books&ie=UTF8&qid=1480394430&sr=1-1,Googled: The End of the World As We Know It,Valid,Wed 29 Nov 2017 19:32:01 GMT
https://www.google.com/press/pressrel/pressrelease1.html,"Google Receives $25 Million in Equity Funding",Valid,Data is not available
https://www.google.com/pressrel/pressrelease1.html,the original,Invalid,Data is not available
